Czas Odczytu,Wartość
2025-01-02 14:27:37,22.0 °C
2025-01-02 14:27:37,22.0 °C
2025-01-02 14:27:38,22.0 °C
2025-01-02 14:27:38,22.0 °C
2025-01-02 14:27:39,22.0 °C
2025-01-02 14:27:39,22.0 °C
2025-01-02 14:27:40,22.0 °C
2025-01-02 14:27:40,22.0 °C
2025-01-02 14:27:41,22.0 °C
2025-01-02 14:27:41,22.0 °C
2025-01-02 14:27:42,22.0 °C
2025-01-02 14:27:42,22.0 °C
2025-01-02 14:27:42,22.0 °C
2025-01-02 14:27:43,22.0 °C
2025-01-02 14:27:43,22.0 °C
2025-01-02 14:27:44,22.0 °C
2025-01-02 14:27:44,22.0 °C
2025-01-02 14:27:45,22.0 °C
2025-01-02 14:27:45,22.0 °C
2025-01-02 14:27:46,22.0 °C
2025-01-02 14:27:46,22.0 °C
2025-01-02 14:27:47,22.0 °C
2025-01-02 14:27:47,22.0 °C
2025-01-02 14:27:48,22.0 °C
2025-01-02 14:27:48,22.0 °C
2025-01-02 14:27:49,22.0 °C
2025-01-02 14:27:49,22.0 °C
2025-01-02 14:27:49,22.0 °C
2025-01-02 14:27:50,22.0 °C
2025-01-02 14:27:50,22.0 °C
2025-01-02 14:27:51,22.0 °C
2025-01-02 14:27:51,22.0 °C
2025-01-02 14:27:52,22.0 °C
2025-01-02 14:27:52,22.0 °C
2025-01-02 14:27:53,22.0 °C
2025-01-02 14:27:53,22.0 °C
2025-01-02 14:27:54,22.0 °C
2025-01-02 14:27:54,22.0 °C
2025-01-02 14:27:55,22.0 °C
2025-01-02 14:27:55,22.0 °C
2025-01-02 14:27:56,22.0 °C
2025-01-02 14:27:56,22.0 °C
2025-01-02 14:27:56,22.0 °C
2025-01-02 14:27:57,22.0 °C
2025-01-02 14:27:57,22.0 °C
2025-01-02 14:27:58,22.0 °C
2025-01-02 14:27:58,22.0 °C
2025-01-02 14:27:59,22.0 °C
2025-01-02 14:27:59,22.0 °C
2025-01-02 14:28:00,22.0 °C
2025-01-02 14:28:00,22.0 °C
2025-01-02 14:28:01,22.0 °C
2025-01-02 14:28:01,22.0 °C
2025-01-02 14:28:02,22.0 °C
2025-01-02 14:28:02,22.0 °C
2025-01-02 14:28:03,22.0 °C
2025-01-02 14:28:03,22.0 °C
2025-01-02 14:28:04,22.0 °C
2025-01-02 14:28:04,22.0 °C
2025-01-02 14:28:04,22.0 °C
2025-01-02 14:28:05,22.0 °C
2025-01-02 14:28:05,22.0 °C
2025-01-02 14:28:06,22.0 °C
2025-01-02 14:28:06,22.0 °C
2025-01-02 14:28:07,22.0 °C
2025-01-02 14:28:07,22.0 °C
2025-01-02 14:28:08,22.0 °C
2025-01-02 14:28:08,22.0 °C
2025-01-02 14:28:09,22.0 °C
2025-01-02 14:28:09,22.0 °C
2025-01-02 14:28:10,22.0 °C
2025-01-02 14:28:10,22.0 °C
2025-01-02 14:28:11,22.0 °C
2025-01-02 14:28:11,22.0 °C
2025-01-02 14:28:12,22.0 °C
2025-01-02 14:28:12,22.0 °C
2025-01-02 14:28:12,22.0 °C
2025-01-02 14:28:13,22.0 °C
2025-01-02 14:28:13,22.0 °C
2025-01-02 14:28:14,22.0 °C
2025-01-02 14:28:14,22.0 °C
2025-01-02 14:28:15,22.0 °C
2025-01-02 14:28:15,22.0 °C
2025-01-02 14:28:16,22.0 °C
2025-01-02 14:28:16,22.0 °C
2025-01-02 14:28:17,22.0 °C
2025-01-02 14:28:17,22.0 °C
2025-01-02 14:28:18,22.0 °C
2025-01-02 14:28:18,22.0 °C
2025-01-02 14:28:19,22.0 °C
2025-01-02 14:28:19,22.0 °C
2025-01-02 14:28:19,22.0 °C
2025-01-02 14:28:20,22.0 °C
2025-01-02 14:28:20,22.0 °C
2025-01-02 14:28:21,22.0 °C
2025-01-02 14:28:21,22.0 °C
2025-01-02 14:28:22,22.0 °C
2025-01-02 14:28:22,22.0 °C
2025-01-02 14:28:23,22.0 °C
2025-01-02 14:28:23,22.0 °C
